Case,RT,Modality,OS,Python
348,80,Auditory,Ubuntu,Python3
349,80,Auditory,Ubuntu,Python3
350,80,Auditory,Ubuntu,Python3
351,80,Auditory,Ubuntu,Python3
352,96,Auditory,Ubuntu,Python3
353,96,Auditory,Ubuntu,Python3
354,96,Auditory,Ubuntu,Python3
355,96,Auditory,Ubuntu,Python3
356,96,Auditory,Ubuntu,Python3
357,80,Auditory,Ubuntu,Python3
358,80,Auditory,Ubuntu,Python3
359,80,Auditory,Ubuntu,Python3
360,80,Auditory,Ubuntu,Python3
361,80,Auditory,Ubuntu,Python3
362,80,Auditory,Ubuntu,Python3
363,112,Auditory,Ubuntu,Python3
364,112,Auditory,Ubuntu,Python3
365,96,Auditory,Ubuntu,Python3
366,80,Auditory,Ubuntu,Python3
367,80,Auditory,Ubuntu,Python3
368,80,Auditory,Ubuntu,Python3
369,96,Auditory,Ubuntu,Python3
370,80,Auditory,Ubuntu,Python3
371,80,Auditory,Ubuntu,Python3
372,80,Auditory,Ubuntu,Python3
373,80,Auditory,Ubuntu,Python3
374,80,Auditory,Ubuntu,Python3
375,64,Auditory,Ubuntu,Python3
376,80,Auditory,Ubuntu,Python3
377,80,Auditory,Ubuntu,Python3
378,80,Auditory,Ubuntu,Python3
379,80,Auditory,Ubuntu,Python3
380,80,Auditory,Ubuntu,Python3
381,80,Auditory,Ubuntu,Python3
382,80,Auditory,Ubuntu,Python3
383,64,Auditory,Ubuntu,Python3
384,96,Auditory,Ubuntu,Python3
385,96,Auditory,Ubuntu,Python3
386,96,Auditory,Ubuntu,Python3
387,96,Auditory,Ubuntu,Python3
388,80,Auditory,Ubuntu,Python3
389,80,Auditory,Ubuntu,Python3
390,80,Auditory,Ubuntu,Python3
391,80,Auditory,Ubuntu,Python3
392,112,Auditory,Ubuntu,Python3
393,96,Auditory,Ubuntu,Python3
394,96,Auditory,Ubuntu,Python3
395,96,Auditory,Ubuntu,Python3
396,80,Auditory,Ubuntu,Python3
397,80,Auditory,Ubuntu,Python3
398,96,Auditory,Ubuntu,Python3
399,80,Auditory,Ubuntu,Python3
400,80,Auditory,Ubuntu,Python3
401,70,Visual,macOS,Python2
402,71,Visual,macOS,Python2
403,71,Visual,macOS,Python2
404,71,Visual,macOS,Python2
405,73,Visual,macOS,Python2
406,72,Visual,macOS,Python2
407,75,Visual,macOS,Python2
408,72,Visual,macOS,Python2
409,72,Visual,macOS,Python2
410,71,Visual,macOS,Python2
411,71,Visual,macOS,Python2
412,72,Visual,macOS,Python2
413,71,Visual,macOS,Python2
414,71,Visual,macOS,Python2
415,73,Visual,macOS,Python2
416,70,Visual,macOS,Python2
417,73,Visual,macOS,Python2
418,72,Visual,macOS,Python2
419,70,Visual,macOS,Python2
420,72,Visual,macOS,Python2
421,70,Visual,macOS,Python2
422,73,Visual,macOS,Python2
423,72,Visual,macOS,Python2
424,70,Visual,macOS,Python2
425,73,Visual,macOS,Python2
426,71,Visual,macOS,Python2
427,71,Visual,macOS,Python2
428,69,Visual,macOS,Python2
429,71,Visual,macOS,Python2
430,72,Visual,macOS,Python2
431,71,Visual,macOS,Python2
432,70,Visual,macOS,Python2
433,71,Visual,macOS,Python2
434,71,Visual,macOS,Python2
435,73,Visual,macOS,Python2
436,73,Visual,macOS,Python2
